Store,Dept,Date,IsHoliday,Weekly_Pred,Wk
1,1,2011-11-04,False,31995.483869967185,44
1,1,2011-11-11,False,17179.260922521447,45
1,1,2011-11-18,False,17796.528732408675,46
1,1,2011-11-25,True,16702.995756728684,47
1,1,2011-12-02,False,22000.8520685212,48
1,1,2011-12-09,False,29534.71489626405,49
1,1,2011-12-16,False,42201.452774604615,50
1,1,2011-12-23,False,51576.497190154754,51
1,1,2011-12-30,True,23058.037869246837,52
1,2,2011-11-04,False,45696.28345824636,44
1,2,2011-11-11,False,42953.468626861446,45
1,2,2011-11-18,False,42841.24293786195,46
1,2,2011-11-25,True,42547.15956960277,47
1,2,2011-12-02,False,43236.09441023828,48
1,2,2011-12-09,False,46184.07683406344,49
1,2,2011-12-16,False,48877.85161756477,50
1,2,2011-12-23,False,58964.93962886538,51
1,2,2011-12-30,True,39649.216452747496,52
1,3,2011-11-04,False,9224.5157169491,44
1,3,2011-11-11,False,9587.200865366016,45
1,3,2011-11-18,False,9547.223632646195,46
1,3,2011-11-25,True,10525.650834656419,47
1,3,2011-12-02,False,11211.840030674692,48
1,3,2011-12-09,False,12526.725236529093,49
1,3,2011-12-16,False,13943.367987349184,50
1,3,2011-12-23,False,15031.858999248723,51
1,3,2011-12-30,True,9109.480526063344,52
1,4,2011-11-04,False,37888.5857892107,44
1,4,2011-11-11,False,35615.63494505043,45
1,4,2011-11-18,False,37849.13203300298,46
1,4,2011-11-25,True,44603.991747879096,47
1,4,2011-12-02,False,36240.83748879119,48
1,4,2011-12-09,False,37046.82608404755,49
1,4,2011-12-16,False,38398.645498168,50
1,4,2011-12-23,False,45969.30621371868,51
1,4,2011-12-30,True,37196.66990582829,52
1,5,2011-11-04,False,25560.26024103118,44
1,5,2011-11-11,False,25605.76809750623,45
1,5,2011-11-18,False,27137.567449331193,46
1,5,2011-11-25,True,71353.98777936811,47
1,5,2011-12-02,False,37542.230877236114,48
1,5,2011-12-09,False,49532.725349563916,49
1,5,2011-12-16,False,58350.11164108326,50
1,5,2011-12-23,False,83974.40225240286,51
1,5,2011-12-30,True,39874.90949981073,52
1,6,2011-11-04,False,3664.8725594500183,44
1,6,2011-11-11,False,2713.949663206319,45
1,6,2011-11-18,False,3404.1639920521056,46
1,6,2011-11-25,True,19043.954783372177,47
1,6,2011-12-02,False,5192.969387569159,48
1,6,2011-12-09,False,6483.544643502851,49
1,6,2011-12-16,False,11334.679459415054,50
1,6,2011-12-23,False,24946.175269879855,51
1,6,2011-12-30,True,7107.868569054766,52
1,7,2011-11-04,False,16055.152254029417,44
1,7,2011-11-11,False,19071.96585191942,45
1,7,2011-11-18,False,25071.716044444373,46
1,7,2011-11-25,True,67967.60212402174,47
1,7,2011-12-02,False,47525.784081032616,48
1,7,2011-12-09,False,63704.73653638719,49
1,7,2011-12-16,False,92621.8311697557,50
1,7,2011-12-23,False,154912.29522718434,51
1,7,2011-12-30,True,43119.31339429648,52
1,8,2011-11-04,False,37543.52468837656,44
1,8,2011-11-11,False,34579.17656388784,45
1,8,2011-11-18,False,35950.5469073905,46
1,8,2011-11-25,True,33899.01187892038,47
1,8,2011-12-02,False,35903.166386862664,48
1,8,2011-12-09,False,35814.564825734786,49
1,8,2011-12-16,False,36809.165116574855,50
1,8,2011-12-23,False,40686.782072838105,51
1,8,2011-12-30,True,33870.92261754648,52
1,9,2011-11-04,False,40522.85808460899,44
1,9,2011-11-11,False,35299.85031770503,45
1,9,2011-11-18,False,33935.23805240623,46
