Store,Dept,Date,IsHoliday,Weekly_Pred
1,1,2012-07-06,False,17096.334025382996
1,1,2012-07-13,False,17142.041147708893
1,1,2012-07-20,False,16130.968966007233
1,1,2012-07-27,False,16585.617148399353
1,1,2012-08-03,False,17093.293202400208
1,1,2012-08-10,False,16434.441012859344
1,1,2012-08-17,False,16325.166638374329
1,1,2012-08-24,False,15852.199930667877
1,1,2012-08-31,False,18164.677095890045
1,2,2012-07-06,False,46360.8222618103
1,2,2012-07-13,False,47928.07978391647
1,2,2012-07-20,False,47533.70432329178
1,2,2012-07-27,False,46895.532183647156
1,2,2012-08-03,False,51000.75302553177
1,2,2012-08-10,False,48849.79255485535
1,2,2012-08-17,False,49841.15552544594
1,2,2012-08-24,False,49225.41403388977
1,2,2012-08-31,False,50785.93341875076
1,3,2012-07-06,False,9784.09691798687
1,3,2012-07-13,False,14835.190469026566
1,3,2012-07-20,False,17826.536715865135
1,3,2012-07-27,False,20389.292629241943
1,3,2012-08-03,False,26291.58136689663
1,3,2012-08-10,False,31180.71126961708
1,3,2012-08-17,False,44080.013670921326
1,3,2012-08-24,False,49118.94369876385
1,3,2012-08-31,False,21375.431933045387
1,4,2012-07-06,False,40662.47085523605
1,4,2012-07-13,False,37614.54657649994
1,4,2012-07-20,False,37438.30868291855
1,4,2012-07-27,False,37640.04359102249
1,4,2012-08-03,False,42061.638144016266
1,4,2012-08-10,False,39641.3606801033
1,4,2012-08-17,False,41689.301038742065
1,4,2012-08-24,False,38334.430005550385
1,4,2012-08-31,False,40474.19903564453
1,5,2012-07-06,False,19104.78392291069
1,5,2012-07-13,False,18330.162296116352
1,5,2012-07-20,False,18575.104425668716
1,5,2012-07-27,False,18044.96621388197
1,5,2012-08-03,False,19800.47817903757
1,5,2012-08-10,False,18793.24685829878
1,5,2012-08-17,False,17964.23507541418
1,5,2012-08-24,False,16403.962605059147
1,5,2012-08-31,False,17474.78018718958
1,6,2012-07-06,False,4101.839761972427
1,6,2012-07-13,False,2990.179740190506
1,6,2012-07-20,False,3314.7761306762695
1,6,2012-07-27,False,3136.7633571624756
1,6,2012-08-03,False,3327.412031173706
1,6,2012-08-10,False,3141.7457666397095
1,6,2012-08-17,False,2248.3945195674896
1,6,2012-08-24,False,2646.8431396484375
1,6,2012-08-31,False,3160.4584243297577
1,7,2012-07-06,False,22397.63393497467
1,7,2012-07-13,False,19009.10597229004
1,7,2012-07-20,False,17715.878833770752
1,7,2012-07-27,False,16608.373719215393
1,7,2012-08-03,False,17323.207708358765
1,7,2012-08-10,False,15885.964897155762
1,7,2012-08-17,False,15429.845420837402
1,7,2012-08-24,False,14278.94739151001
1,7,2012-08-31,False,16024.955268859863
1,8,2012-07-06,False,37625.24891471863
1,8,2012-07-13,False,35844.13212966919
1,8,2012-07-20,False,36321.532406806946
1,8,2012-07-27,False,35761.22066926956
1,8,2012-08-03,False,37857.17201900482
1,8,2012-08-10,False,34457.45009613037
1,8,2012-08-17,False,34203.2294049263
1,8,2012-08-24,False,33583.339638233185
1,8,2012-08-31,False,38364.869878292084
1,9,2012-07-06,False,29567.58772945404
1,9,2012-07-13,False,22239.02745628357
1,9,2012-07-20,False,21580.965627670288
1,9,2012-07-27,False,20919.141837120056
1,9,2012-08-03,False,20708.012630462646
1,9,2012-08-10,False,19164.162992477417
1,9,2012-08-17,False,26335.797664642334
1,9,2012-08-24,False,25360.19002056122
1,9,2012-08-31,False,48376.81531524658
1,10,2012-07-06,False,33624.11457133293
1,10,2012-07-13,False,32118.45100939274
1,10,2012-07-20,False,32203.963438153267
1,10,2012-07-27,False,32075.155851483345
1,10,2012-08-03,False,34639.86633437872
1,10,2012-08-10,False,33509.39185476303
1,10,2012-08-17,False,33538.07387006283
1,10,2012-08-24,False,34055.70964306593
1,10,2012-08-31,False,33650.78426408768
1,11,2012-07-06,False,28909.5329682827
1,11,2012-07-13,False,30243.50943684578
1,11,2012-07-20,False,31013.94822192192
1,11,2012-07-27,False,27930.336387634277
1,11,2012-08-03,False,33491.928498744965
1,11,2012-08-10,False,26949.757619142532
1,11,2012-08-17,False,25335.334542751312
1,11,2012-08-24,False,22526.949078559875
1,11,2012-08-31,False,21450.491800308228
1,12,2012-07-06,False,11602.911144375801
1,12,2012-07-13,False,10419.184417247772
1,12,2012-07-20,False,11657.461161494255
1,12,2012-07-27,False,11632.064921855927
1,12,2012-08-03,False,11505.62598156929
1,12,2012-08-10,False,12473.875633120537
1,12,2012-08-17,False,10108.540317773819
1,12,2012-08-24,False,9308.018666148186
1,12,2012-08-31,False,10744.977102041245
1,13,2012-07-06,False,41267.63794517517
1,13,2012-07-13,False,40888.81636238098
1,13,2012-07-20,False,40658.196248054504
1,13,2012-07-27,False,39528.34928894043
1,13,2012-08-03,False,43725.29618358612
1,13,2012-08-10,False,40156.97796535492
1,13,2012-08-17,False,42261.40435695648
1,13,2012-08-24,False,40686.993839263916
1,13,2012-08-31,False,44996.049715042114
1,14,2012-07-06,False,14830.476362228394
1,14,2012-07-13,False,13963.553230285645
1,14,2012-07-20,False,13883.930234193802
1,14,2012-07-27,False,13366.451273679733
1,14,2012-08-03,False,15188.506725549698
1,14,2012-08-10,False,14120.617571115494
1,14,2012-08-17,False,14561.452726125717
1,14,2012-08-24,False,12953.351789951324
1,14,2012-08-31,False,13920.066401481628
1,16,2012-07-06,False,34011.624928474426
1,16,2012-07-13,False,29108.877143859863
1,16,2012-07-20,False,27008.45495033264
1,16,2012-07-27,False,23475.121313095093
1,16,2012-08-03,False,24915.708740234375
1,16,2012-08-10,False,22307.911454200745
1,16,2012-08-17,False,20512.453766822815
1,16,2012-08-24,False,18525.618012428284
1,16,2012-08-31,False,19919.941813468933
1,17,2012-07-06,False,7531.96030664444
1,17,2012-07-13,False,7506.431630849838
1,17,2012-07-20,False,7862.762130737305
1,17,2012-07-27,False,7627.350425720215
1,17,2012-08-03,False,8190.811176300049
1,17,2012-08-10,False,7632.4192106723785
1,17,2012-08-17,False,8494.277527093887
1,17,2012-08-24,False,8790.236528396606
1,17,2012-08-31,False,7622.384104967117
1,18,2012-07-20,False,6614.23366689682
1,18,2012-08-17,False,-957.0902943611145
1,18,2012-08-24,False,-215.02942514419556
1,18,2012-08-31,False,-152.15299606323242
1,19,2012-07-06,False,756.1460857987404
1,19,2012-07-13,False,923.6979769468307
1,19,2012-07-20,False,735.6267957091331
1,19,2012-07-27,False,742.6317841410637
1,19,2012-08-03,False,854.9391407966614
1,19,2012-08-10,False,935.6559445858002
1,19,2012-08-17,False,910.946582198143
1,19,2012-08-24,False,871.7758287191391
1,19,2012-08-31,False,757.1855109930038
1,20,2012-07-06,False,5655.526990413666
1,20,2012-07-13,False,5015.813832998276
1,20,2012-07-20,False,5020.4814286231995
1,20,2012-07-27,False,4700.54487156868
1,20,2012-08-03,False,5195.754196643829
1,20,2012-08-10,False,4709.6188452243805
1,20,2012-08-17,False,4881.043660879135
1,20,2012-08-24,False,4194.22598862648
1,20,2012-08-31,False,4860.646425247192
1,21,2012-07-06,False,7720.416500031948
1,21,2012-07-13,False,7896.819520413876
1,21,2012-07-20,False,7412.89141780138
1,21,2012-07-27,False,7485.6273510456085
1,21,2012-08-03,False,7801.343980014324
1,21,2012-08-10,False,7678.906423687935
1,21,2012-08-17,False,7544.978962004185
1,21,2012-08-24,False,7541.528628945351
1,21,2012-08-31,False,7992.25537186861
1,22,2012-07-06,False,7363.162786960602
1,22,2012-07-13,False,7299.405108690262
